,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tyler Herro,34:30,7,24,.292,2,7,.286,0,0,,0,2,2,3,3,0,2,1,16,5.3,+6
1,Jimmy Butler,34:28,6,18,.333,0,0,,7,9,.778,8,5,13,4,2,0,0,0,19,19.9,-3
2,Bam Adebayo,32:09,7,13,.538,0,0,,8,10,.800,2,6,8,3,0,2,2,3,22,18.4,-4
3,Kyle Lowry,31:52,0,1,.000,0,0,,0,0,,0,2,2,2,2,1,0,4,0,2.4,+4
4,Kevin Love,27:44,4,9,.444,3,6,.500,2,2,1.000,2,8,10,2,0,0,1,5,13,10.5,+5
5,Duncan Robinson,22:06,6,10,.600,3,5,.600,0,0,,1,1,2,1,0,0,0,1,15,11.7,-3
6,Caleb Martin,19:30,1,7,.143,0,3,.000,0,0,,1,2,3,1,1,0,0,1,2,0.1,-5
7,Thomas Bryant,15:50,2,5,.400,0,0,,4,5,.800,2,4,6,3,1,0,1,0,8,9.6,+5
8,Jaime Jaquez Jr.,13:11,3,3,1.000,0,0,,0,0,,0,2,2,2,2,0,1,2,6,7.3,+4
9,Dru Smith,8:40,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,1.3,-4
10,Jamal Cain,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,R.J. Hampton,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Nikola Jović,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,,,,,,
