,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Fred VanVleet,33:32,5,13,.385,4,6,.667,0,0,,0,1,1,5,1,0,3,0,14,8.7,-3
1,Jalen Green,29:49,2,10,.200,0,1,.000,6,7,.857,0,1,1,0,1,1,4,2,10,0.6,-12
2,Alperen Sengun,28:28,6,11,.545,0,1,.000,2,4,.500,2,6,8,6,0,0,1,4,14,12.7,-2
3,Jabari Smith Jr.,26:10,3,9,.333,0,4,.000,1,2,.500,1,4,5,1,1,0,1,6,7,1.7,-8
4,Dillon Brooks,26:08,5,7,.714,4,6,.667,0,0,,0,4,4,2,1,0,2,4,14,11.1,-15
5,Amen Thompson,21:20,3,10,.300,1,7,.143,1,2,.500,1,4,5,2,0,0,4,2,8,0.3,-34
6,Jae'Sean Tate,15:08,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,1,1,0,1,5,6.3,-11
7,Jeff Green,13:52,2,4,.500,0,1,.000,0,1,.000,3,0,3,1,0,0,1,2,4,2.6,-11
8,Reggie Bullock,11:14,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,1,0,1,3,4.3,-5
9,Cam Whitmore,9:39,0,4,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,0,0,-3.5,-12
10,Jock Landale,8:37,1,2,.500,1,2,.500,0,0,,0,0,0,2,0,0,1,1,3,2.0,-9
11,Jermaine Samuels,6:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-10
12,Jeenathan Williams,4:48,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,2.7,-9
13,Aaron Holiday,4:48,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-9
14,Boban Marjanović,Did Not Play,,,,,,,,,,,,,,,,,,,,
