,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Harrison Barnes,38:36,.405,.333,.444,.222,0.0,5.6,2.7,6.1,0.0,2.6,0.0,10.9,92,116,-6.5
1,Kevin Huerter,36:37,.466,.458,.583,.167,0.0,20.7,10.1,13.4,0.0,5.5,0.0,15.0,103,110,-0.7
2,De'Aaron Fox,34:15,.672,.646,.333,.333,3.0,9.5,6.2,45.3,1.3,2.9,9.8,37.9,127,111,11.6
3,Domantas Sabonis,34:00,.644,.688,.125,.375,3.1,44.5,23.4,18.9,1.4,0.0,24.4,15.4,109,106,-1.0
4,Keegan Murray,33:13,.555,.536,.643,.214,9.4,16.3,12.8,20.2,2.8,3.0,6.1,20.9,120,107,5.9
5,Malik Monk,24:42,.573,.529,.529,.294,4.2,8.8,6.4,18.9,0.0,0.0,9.4,36.5,107,117,2.1
6,Sasha Vezenkov,18:21,.527,.500,.600,.100,0.0,23.6,11.6,7.7,0.0,5.4,0.0,24.2,105,110,2.0
7,Davion Mitchell,15:30,.625,.625,.500,.000,0.0,14.0,6.8,16.2,0.0,0.0,0.0,11.0,134,115,-3.7
8,JaVale McGee,15:29,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,3.0,6.5,33.3,8.2,111,107,-1.7
9,Chris Duarte,14:04,.500,.500,.500,.000,0.0,15.4,7.5,0.0,3.3,0.0,0.0,12.1,95,107,-5.7
10,Kessler Edwards,0:13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,-6.8
11,Keon Ellis,Did Not Play,,,,,,,,,,,,,,,
12,Colby Jones,Did Not Play,,,,,,,,,,,,,,,
13,Alex Len,Did Not Play,,,,,,,,,,,,,,,
14,Jalen Slawson,Did Not Play,,,,,,,,,,,,,,,
