,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jaylen Brown,31:32,13,24,.542,8,13,.615,2,4,.500,0,6,6,2,3,1,0,3,36,29.3,+32
1,Jayson Tatum,27:36,14,21,.667,4,9,.444,1,1,1.000,0,6,6,3,0,0,2,2,33,25.0,+27
2,Jrue Holiday,26:42,4,7,.571,1,3,.333,2,2,1.000,1,4,5,3,1,2,1,1,11,12.7,+28
3,Kristaps Porziņģis,23:52,7,9,.778,1,2,.500,0,0,,0,6,6,3,0,1,2,2,15,13.3,+30
4,Derrick White,23:36,2,3,.667,1,2,.500,0,0,,1,0,1,8,2,1,2,1,5,10.3,+27
5,Sam Hauser,25:08,3,10,.300,2,9,.222,0,0,,3,5,8,1,0,1,1,3,8,5.0,-10
6,Payton Pritchard,25:03,0,8,.000,0,6,.000,0,0,,1,6,7,6,1,0,4,3,0,-3.1,-2
7,Al Horford,15:31,4,9,.444,0,3,.000,0,0,,4,1,5,1,2,0,0,1,8,8.7,+4
8,Luke Kornet,10:42,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-0.4,-11
9,Oshae Brissett,10:16,0,4,.000,0,2,.000,0,0,,1,1,2,1,1,0,0,2,0,-0.9,-10
10,Dalano Banton,9:41,1,3,.333,0,1,.000,0,0,,2,0,2,1,0,0,1,1,2,1.0,-17
11,Lamar Stevens,5:31,2,2,1.000,1,1,1.000,0,0,,2,0,2,0,0,0,3,1,5,2.4,-4
12,Svi Mykhailiuk,4:50,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,0,0,3,3.7,+1
13,Jordan Walsh,Did Not Play,,,,,,,,,,,,,,,,,,,,
