,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Anthony Edwards,37:47,13,21,.619,5,8,.625,0,1,.000,0,5,5,7,1,0,5,4,31,21.9,-9
1,Karl-Anthony Towns,36:11,7,17,.412,1,3,.333,1,1,1.000,2,8,10,3,1,0,0,2,16,13.0,-8
2,Rudy Gobert,30:41,3,7,.429,0,0,,8,11,.727,6,7,13,1,1,2,0,2,14,17.7,-13
3,Mike Conley,28:02,2,9,.222,2,6,.333,0,0,,1,1,2,3,0,0,0,3,6,2.4,-12
4,Jaden McDaniels,23:56,5,6,.833,2,2,1.000,0,0,,0,3,3,2,0,1,0,2,12,12.0,-8
5,Kyle Anderson,24:47,2,5,.400,0,2,.000,0,0,,1,1,2,5,2,1,2,1,4,6.1,-8
6,Naz Reid,23:58,5,12,.417,3,7,.429,0,0,,0,1,1,0,0,0,1,1,13,5.5,-21
7,Shake Milton,16:33,4,8,.500,2,2,1.000,0,0,,0,1,1,1,0,0,1,1,10,5.6,+2
8,Nickeil Alexander-Walker,13:21,1,3,.333,1,3,.333,0,2,.000,0,0,0,2,0,0,1,1,3,0.5,-9
9,Luka Garza,1:11,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+4
10,Josh Minott,1:11,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+4
11,Jordan McLaughlin,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,+4
12,Daishen Nix,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
13,Troy Brown Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
