,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Rudy Gobert,32:23,0,7,.000,0,0,,4,4,1.000,2,10,12,1,1,2,1,3,4,4.4,+15
1,Anthony Edwards,31:50,8,16,.500,1,4,.250,7,8,.875,0,2,2,1,2,0,4,1,24,14.5,+11
2,Karl-Anthony Towns,30:50,7,19,.368,1,4,.250,6,6,1.000,2,6,8,4,2,0,1,2,21,16.7,+22
3,Mike Conley,27:17,7,9,.778,3,4,.750,0,0,,0,3,3,6,1,0,0,1,17,19.2,+19
4,Jaden McDaniels,21:20,3,5,.600,0,1,.000,0,0,,3,6,9,2,0,2,4,5,6,4.4,+19
5,Kyle Anderson,25:17,4,6,.667,1,1,1.000,0,0,,0,3,3,2,0,0,0,0,9,8.7,-1
6,Nickeil Alexander-Walker,20:43,2,6,.333,1,2,.500,0,0,,0,0,0,1,0,1,0,2,5,2.2,+2
7,Naz Reid,19:19,6,9,.667,1,3,.333,3,3,1.000,1,4,5,1,1,0,1,0,16,14.7,+4
8,Shake Milton,17:58,0,3,.000,0,0,,2,2,1.000,0,1,1,1,2,0,1,1,2,1.5,+10
9,Troy Brown Jr.,5:13,0,1,.000,0,1,.000,4,4,1.000,0,4,4,1,0,0,1,0,4,4.2,0
10,Jordan McLaughlin,4:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2
11,Josh Minott,3:38,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
