,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Russell Westbrook,43:40,9,21,.429,3,6,.500,3,5,.600,4,7,11,8,4,0,6,5,24,18.6,-8
1,Kawhi Leonard,41:29,15,28,.536,5,11,.455,3,6,.500,1,5,6,5,2,0,2,2,38,28.1,+4
2,Paul George,36:51,11,16,.688,6,9,.667,7,8,.875,0,6,6,1,2,0,3,6,35,26.9,+22
3,Bones Hyland,33:40,2,7,.286,0,3,.000,0,0,,0,1,1,5,1,0,0,3,4,3.5,+8
4,Ivica Zubac,29:06,3,8,.375,0,0,,1,2,.500,2,7,9,0,0,0,1,5,7,2.7,-6
5,Norman Powell,35:01,6,14,.429,0,4,.000,0,0,,0,2,2,3,0,1,0,6,12,5.6,-14
6,P.J. Tucker,20:49,0,1,.000,0,0,,0,0,,5,0,5,0,0,0,0,4,0,1.2,-15
7,Mason Plumlee,18:45,1,3,.333,0,0,,3,6,.500,0,6,6,0,3,0,1,0,5,5.9,-9
8,Kobe Brown,5:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
9,Amir Coffey,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Moussa Diabaté,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jordan Miller,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Joshua Primo,Did Not Play,,,,,,,,,,,,,,,,,,,,
