,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Anthony Davis,47:34,.615,.556,.000,.500,10.4,12.4,11.5,9.6,1.0,6.9,0.0,20.4,139,113,3.5
1,LeBron James,42:29,.748,.789,.421,.526,0.0,27.7,15.4,29.3,1.1,3.8,14.6,28.5,129,111,10.5
2,Austin Reaves,37:37,.493,.385,.231,.385,6.6,13.0,10.2,25.3,3.9,0.0,24.8,23.7,97,112,-4.0
3,Cam Reddish,36:38,.457,.357,.714,.571,0.0,10.7,6.0,13.4,4.0,2.2,0.0,10.6,116,110,0.9
4,D'Angelo Russell,36:13,.650,.605,.368,.211,0.0,5.4,3.0,28.0,0.0,0.0,12.6,29.0,121,123,0.5
5,Christian Wood,29:06,.833,.833,.667,.000,8.5,30.4,20.7,0.0,1.7,2.8,25.0,12.2,120,110,0.6
6,Max Christie,21:51,.317,.214,.714,.286,0.0,13.5,7.5,0.0,2.2,0.0,0.0,15.9,72,115,-11.4
7,Jaxson Hayes,13:32,.798,1.000,.000,2.000,9.1,7.3,8.1,9.3,0.0,6.0,0.0,6.1,178,118,2.3
8,Colin Castleton,Did Not Play,,,,,,,,,,,,,,,
9,Alex Fudge,Did Not Play,,,,,,,,,,,,,,,
10,D'Moi Hodge,Did Not Play,,,,,,,,,,,,,,,
11,Maxwell Lewis,Did Not Play,,,,,,,,,,,,,,,
12,Taurean Prince,Did Not Play,,,,,,,,,,,,,,,
