,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Keldon Johnson,35:01,3,11,.273,1,6,.167,0,0,,1,6,7,6,2,1,0,5,7,7.9,+11
1,Zach Collins,34:49,7,10,.700,3,3,1.000,2,2,1.000,4,4,8,4,0,0,3,2,19,17.8,+8
2,Victor Wembanyama,34:21,15,26,.577,3,6,.500,5,6,.833,2,8,10,2,1,2,2,3,38,29.8,+21
3,Jeremy Sochan,26:23,7,13,.538,0,0,,0,0,,1,4,5,9,0,1,1,4,14,14.0,0
4,Devin Vassell,16:51,7,10,.700,3,3,1.000,0,0,,0,2,2,1,0,0,0,2,17,13.3,+16
5,Tre Jones,28:26,3,8,.375,2,4,.500,4,4,1.000,1,4,5,10,1,0,1,3,12,15.3,+19
6,Cedi Osman,22:29,5,8,.625,3,6,.500,0,0,,0,2,2,1,1,0,0,1,13,11.3,-16
7,Malaki Branham,20:05,1,7,.143,1,6,.167,0,0,,0,1,1,3,0,1,0,1,3,1.2,+5
8,Doug McDermott,15:50,2,4,.500,2,3,.667,0,0,,0,0,0,0,1,0,0,0,6,5.0,-17
9,Charles Bassey,5:44,1,1,1.000,0,0,,1,1,1.000,0,1,1,1,1,0,1,0,3,3.7,+8
10,Dominick Barlow,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Julian Champagnie,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Devonte' Graham,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Sandro Mamukelashvili,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Blake Wesley,Did Not Play,,,,,,,,,,,,,,,,,,,,
