,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Zach LaVine,38:26,.527,.500,.286,.190,3.1,18.3,10.8,20.5,1.3,2.4,8.1,29.4,110,114,1.1
1,Nikola Vučević,35:43,.500,.500,.077,.000,20.2,22.9,21.6,11.5,0.0,0.0,0.0,16.6,130,118,-0.2
2,Coby White,35:25,.503,.471,.471,.118,3.4,6.6,5.0,8.1,0.0,2.7,10.1,25.6,100,120,-4.5
3,DeMar DeRozan,33:28,.551,.500,.200,.200,3.6,0.0,1.8,19.1,0.0,0.0,0.0,29.7,125,123,2.5
4,Torrey Craig,23:10,.375,.375,.500,.000,0.0,30.3,15.3,20.2,2.2,0.0,20.0,9.9,95,111,-1.7
5,Alex Caruso,26:17,.750,.750,1.000,.000,0.0,8.9,4.5,8.9,0.0,3.6,0.0,3.5,169,118,-3.1
6,Patrick Williams,20:53,.833,.833,.500,.000,0.0,28.0,14.2,6.8,0.0,4.5,25.0,17.5,117,113,3.1
7,Jevon Carter,14:15,.833,.833,.667,.000,0.0,8.2,4.2,0.0,3.6,0.0,40.0,16.0,85,113,-5.3
8,Andre Drummond,12:20,.735,1.000,.000,1.333,0.0,38.0,19.2,0.0,4.1,0.0,17.4,21.3,106,105,1.8
9,Julian Phillips,Did Not Play,,,,,,,,,,,,,,,
10,Terry Taylor,Did Not Play,,,,,,,,,,,,,,,
11,Dalen Terry,Did Not Play,,,,,,,,,,,,,,,
