,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Donovan Mitchell,36:39,13,21,.619,4,7,.571,8,10,.800,1,4,5,9,1,0,3,1,38,33.5,0
1,Evan Mobley,35:51,7,13,.538,0,2,.000,0,0,,2,8,10,5,3,4,2,2,14,18.0,+11
2,Darius Garland,31:59,5,11,.455,0,2,.000,4,4,1.000,0,0,0,6,2,1,4,1,14,10.8,-10
3,Max Strus,28:17,4,9,.444,1,6,.167,1,2,.500,0,1,1,0,1,1,1,2,10,5.1,+3
4,Jarrett Allen,21:07,4,6,.667,0,0,,2,3,.667,2,5,7,0,1,2,1,4,10,9.7,-1
5,Caris LeVert,30:24,5,12,.417,0,4,.000,3,4,.750,0,5,5,4,0,1,1,2,13,9.4,-1
6,Georges Niang,27:07,4,9,.444,2,6,.333,2,2,1.000,0,5,5,1,0,0,0,2,12,8.7,+9
7,Isaac Okoro,23:00,2,3,.667,1,1,1.000,0,0,,0,1,1,2,2,0,1,4,5,4.8,-19
8,Tristan Thompson,2:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-8
9,Dean Wade,2:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-9
10,Damian Jones,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Sam Merrill,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Craig Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
