,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Luka Dončić,38:16,11,24,.458,6,11,.545,6,7,.857,3,7,10,8,0,1,9,2,34,21.9,-4
1,Kyrie Irving,34:52,9,15,.600,1,5,.200,3,4,.750,0,1,1,7,4,2,3,1,22,21.9,-12
2,Grant Williams,32:51,4,10,.400,3,7,.429,2,2,1.000,2,3,5,2,1,2,1,4,13,11.1,-21
3,Dereck Lively II,24:48,2,3,.667,0,1,.000,0,0,,1,3,4,0,1,1,0,2,4,5.2,-10
4,Derrick Jones Jr.,16:56,3,5,.600,1,3,.333,0,0,,1,0,1,1,2,0,0,0,7,8.1,-16
5,Josh Green,27:10,5,8,.625,3,5,.600,0,0,,1,4,5,2,2,0,0,2,13,13.9,+4
6,Tim Hardaway Jr.,26:45,3,8,.375,1,5,.200,2,2,1.000,0,3,3,2,1,0,2,3,9,4.7,-10
7,Dwight Powell,16:30,2,5,.400,0,0,,2,2,1.000,1,0,1,1,0,0,0,2,6,3.9,-2
8,Jaden Hardy,14:11,2,6,.333,2,4,.500,0,0,,1,2,3,3,0,0,0,2,6,5.2,+8
9,Seth Curry,5:18,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,1,0,0.9,+4
10,Dante Exum,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
11,Olivier-Maxence Prosper,1:11,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2
12,Richaun Holmes,Did Not Play,,,,,,,,,,,,,,,,,,,,
