,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Shaedon Sharpe,46:26,7,17,.412,2,5,.400,6,7,.857,1,4,5,2,1,1,3,2,22,13.7,-1
1,Malcolm Brogdon,44:21,6,19,.316,2,9,.222,10,12,.833,0,7,7,10,3,0,4,1,24,20.0,+14
2,Jerami Grant,43:44,9,23,.391,3,7,.429,5,9,.556,2,6,8,3,0,1,3,0,26,14.9,+9
3,Deandre Ayton,36:16,7,11,.636,0,0,,2,2,1.000,4,8,12,2,3,1,1,4,16,18.8,+10
4,Matisse Thybulle,18:30,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,2,0,1,5,4.0,-3
5,Toumani Camara,31:29,2,8,.250,0,3,.000,1,1,1.000,3,0,3,1,2,0,1,4,5,2.4,+2
6,Robert Williams,19:45,3,4,.750,0,0,,2,3,.667,4,6,10,0,2,1,1,1,8,11.9,-5
7,Skylar Mays,15:13,3,8,.375,1,5,.200,2,2,1.000,0,1,1,1,1,0,1,0,9,5.6,-9
8,Jabari Walker,9:16,0,2,.000,0,0,,0,0,,1,3,4,0,0,1,0,2,0,0.1,-7
9,Moses Brown,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Justin Minaya,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Kris Murray,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Rayan Rupert,Did Not Play,,,,,,,,,,,,,,,,,,,,
