,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Trae Young,38:44,7,15,.467,3,7,.429,5,6,.833,3,2,5,12,1,0,5,3,22,19.8,+18
1,Dejounte Murray,37:12,8,20,.400,2,9,.222,2,2,1.000,2,6,8,7,0,0,3,1,20,13.9,+13
2,Jalen Johnson,35:44,8,13,.615,2,3,.667,3,4,.750,2,9,11,4,0,0,1,3,21,19.4,+19
3,De'Andre Hunter,29:47,1,3,.333,1,2,.500,1,2,.500,1,4,5,1,0,1,2,3,4,2.0,+17
4,Clint Capela,28:22,8,9,.889,0,0,,1,2,.500,2,5,7,0,0,2,0,2,17,17.0,+19
5,Saddiq Bey,26:04,5,13,.385,2,7,.286,0,0,,4,1,5,2,1,0,0,2,12,9.6,+4
6,Bogdan Bogdanović,20:52,4,14,.286,2,10,.200,0,0,,3,2,5,2,1,2,0,1,10,7.9,+7
7,Onyeka Okongwu,19:38,4,6,.667,2,3,.667,7,8,.875,2,4,6,0,1,1,0,0,17,18.3,-1
8,Garrison Mathews,3:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-6
9,Bruno Fernando,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Trent Forrest,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,AJ Griffin,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Mouhamed Gueye,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Patty Mills,Did Not Play,,,,,,,,,,,,,,,,,,,,
