,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Keegan Murray,33:06,3,12,.250,1,8,.125,0,0,,0,2,2,1,0,0,0,1,7,0.7,-17
1,Harrison Barnes,31:57,3,7,.429,3,4,.750,4,5,.800,0,3,3,0,0,0,0,0,13,9.8,-19
2,Domantas Sabonis,30:42,5,10,.500,0,2,.000,1,4,.250,3,12,15,4,1,2,5,2,11,9.9,-26
3,Davion Mitchell,26:27,3,7,.429,1,4,.250,0,0,,0,3,3,5,0,1,1,3,7,6.2,-13
4,Kevin Huerter,15:50,2,8,.250,0,3,.000,0,0,,2,2,4,2,1,0,1,3,4,1.4,-13
5,Chris Duarte,25:58,3,8,.375,2,6,.333,2,2,1.000,0,2,2,1,1,1,0,4,10,7.0,-4
6,Malik Monk,25:42,6,13,.462,3,7,.429,3,4,.750,0,3,3,7,0,1,1,1,18,16.0,-9
7,Colby Jones,18:07,2,7,.286,1,4,.250,0,0,,1,2,3,0,0,0,3,1,5,-1.2,0
8,JaVale McGee,14:40,5,9,.556,0,1,.000,2,2,1.000,2,4,6,0,0,0,0,0,12,10.3,+7
9,Sasha Vezenkov,10:46,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,1,0,3,0,-0.6,+3
10,Alex Len,2:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1
11,Jordan Ford,1:22,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,0
12,Kessler Edwards,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
13,Keon Ellis,1:22,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-0.1,0
14,Filip Petrušev,Did Not Play,,,,,,,,,,,,,,,,,,,,
