,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Kyrie Irving,36:55,8,20,.400,2,6,.333,3,5,.600,1,5,6,10,3,0,3,2,21,17.8,+18
1,Luka Dončić,35:09,9,17,.529,5,10,.500,6,6,1.000,0,3,3,6,2,0,6,2,29,21.0,+7
2,Grant Williams,33:22,5,9,.556,2,5,.400,1,3,.333,1,1,2,0,0,1,0,2,13,8.8,+18
3,Derrick Jones Jr.,28:25,2,5,.400,1,3,.333,0,0,,1,3,4,1,0,2,1,3,5,3.8,+2
4,Dereck Lively II,15:50,4,5,.800,0,0,,2,2,1.000,2,3,5,0,1,1,2,5,10,8.1,+1
5,Tim Hardaway Jr.,30:50,8,16,.500,4,11,.364,1,1,1.000,0,6,6,0,0,0,0,0,21,14.8,+3
6,Dwight Powell,28:29,2,2,1.000,0,0,,3,5,.600,0,2,2,2,1,2,0,3,7,8.8,+14
7,Josh Green,19:48,2,3,.667,1,2,.500,1,2,.500,0,2,2,1,1,0,1,3,6,4.4,+10
8,Jaden Hardy,11:12,1,5,.200,0,3,.000,3,4,.750,0,1,1,1,1,0,1,0,5,2.5,+2
9,Seth Curry,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Dante Exum,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Richaun Holmes,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Markieff Morris,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Olivier-Maxence Prosper,Did Not Play,,,,,,,,,,,,,,,,,,,,
