,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Lauri Markkanen,34:26,8,15,.533,5,12,.417,8,8,1.000,1,4,5,3,0,1,1,2,29,24.6,-12
1,Walker Kessler,30:39,5,12,.417,1,2,.500,4,6,.667,11,4,15,0,0,4,1,3,15,17.3,-14
2,Jordan Clarkson,29:05,3,14,.214,1,8,.125,0,0,,1,0,1,6,0,0,5,1,7,-2.1,-14
3,John Collins,28:40,6,9,.667,1,2,.500,1,1,1.000,1,5,6,0,1,0,2,5,14,9.3,-13
4,Talen Horton-Tucker,23:25,2,5,.400,1,3,.333,0,0,,0,6,6,4,0,0,5,0,5,1.9,-7
5,Kelly Olynyk,23:19,5,7,.714,2,3,.667,1,1,1.000,0,7,7,8,0,0,1,1,13,16.4,-8
6,Keyonte George,20:37,2,5,.400,1,3,.333,0,0,,0,2,2,4,0,0,2,1,5,3.3,-15
7,Collin Sexton,16:49,6,10,.600,1,3,.333,1,1,1.000,1,2,3,2,0,0,1,3,14,9.9,+1
8,Ochai Agbaji,10:35,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,1,1,2,3,1.2,-15
9,Kris Dunn,10:30,1,1,1.000,1,1,1.000,0,0,,2,3,5,3,0,0,2,1,3,4.7,-3
10,Luka Šamanić,3:58,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,1,3,2.6,+5
11,Omer Yurtseven,3:58,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,2.4,+5
12,Simone Fontecchio,3:58,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,+5
