,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Scottie Barnes,28:43,4,15,.267,2,9,.222,0,0,,1,4,5,4,1,1,1,1,10,6.1,-28
1,Pascal Siakam,28:07,6,17,.353,0,4,.000,5,6,.833,2,5,7,3,3,0,3,0,17,12.1,-9
2,OG Anunoby,27:31,3,13,.231,2,8,.250,0,0,,1,2,3,2,1,0,0,0,8,3.8,-26
3,Dennis Schröder,25:19,3,7,.429,1,3,.333,7,7,1.000,0,1,1,4,1,0,1,3,14,12.2,-2
4,Jakob Poeltl,21:17,6,10,.600,0,0,,0,0,,2,1,3,2,0,0,1,3,12,8.3,-9
5,Malachi Flynn,22:41,5,7,.714,2,4,.500,0,1,.000,0,1,1,1,0,0,1,0,12,8.7,-21
6,Chris Boucher,21:58,2,4,.500,2,3,.667,0,0,,0,5,5,1,0,0,0,2,6,5.4,-9
7,Precious Achiuwa,18:31,1,5,.200,0,2,.000,0,0,,0,5,5,5,0,0,0,1,2,3.5,-12
8,Gradey Dick,14:32,1,4,.250,0,2,.000,2,2,1.000,0,1,1,1,0,0,1,1,4,1.2,-4
9,Otto Porter Jr.,14:20,1,2,.500,1,2,.500,0,0,,0,3,3,0,1,0,0,1,3,3.5,-9
10,Jalen McDaniels,8:56,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.9,+2
11,Thaddeus Young,4:01,2,3,.667,0,0,,0,0,,1,0,1,2,0,0,0,0,4,4.8,+6
12,Garrett Temple,4:01,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,0,2,2.3,+6
