,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Aaron Gordon,38:30,6,10,.600,1,2,.500,3,6,.500,1,7,8,5,0,2,2,2,16,15.1,+8
1,Nikola Jokić,38:14,13,26,.500,2,6,.333,8,8,1.000,6,15,21,11,0,1,3,3,36,35.9,+12
2,Michael Porter Jr.,37:43,11,19,.579,3,10,.300,0,0,,2,8,10,0,0,1,2,3,25,17.4,+2
3,Kentavious Caldwell-Pope,37:33,2,5,.400,1,2,.500,0,0,,0,0,0,1,1,0,1,3,5,1.8,+6
4,Reggie Jackson,27:53,6,12,.500,2,5,.400,0,0,,0,4,4,2,0,0,1,2,14,8.8,-3
5,Collin Gillespie,20:06,3,7,.429,0,2,.000,0,0,,0,1,1,3,2,0,1,2,6,4.9,0
6,Christian Braun,13:41,0,4,.000,0,2,.000,0,0,,1,0,1,0,0,0,1,1,0,-3.5,-11
7,Zeke Nnaji,11:19,1,4,.250,0,1,.000,0,0,,2,2,4,0,0,0,0,0,2,1.6,-18
8,Julian Strawther,7:47,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,2,0,-1.5,-5
9,Peyton Watson,7:11,0,2,.000,0,0,,0,0,,0,0,0,1,0,1,0,2,0,-0.8,-6
10,Justin Holiday,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,DeAndre Jordan,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Braxton Key,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Jalen Pickett,Did Not Play,,,,,,,,,,,,,,,,,,,,
