,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Donovan Mitchell,38:09,7,21,.333,4,9,.444,4,4,1.000,0,2,2,5,1,1,2,0,22,13.9,-1
1,Max Strus,34:03,7,12,.583,5,9,.556,0,0,,2,3,5,4,1,0,1,3,19,17.3,+10
2,Darius Garland,33:42,5,14,.357,3,8,.375,3,4,.750,0,3,3,6,0,0,1,1,16,11.5,-14
3,Evan Mobley,30:06,8,14,.571,0,0,,0,0,,7,5,12,2,1,0,3,4,16,13.6,-3
4,Jarrett Allen,22:23,5,6,.833,0,0,,2,3,.667,4,5,9,1,0,0,2,2,12,11.6,-25
5,Caris LeVert,28:21,7,13,.538,2,3,.667,5,6,.833,1,2,3,1,0,0,2,3,21,13.1,-7
6,Georges Niang,21:42,5,7,.714,2,4,.500,0,0,,0,1,1,1,0,0,0,1,12,9.7,-12
7,Dean Wade,12:48,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-18
8,Tristan Thompson,12:47,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,+8
9,Sam Merrill,2:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1
10,Craig Porter Jr.,2:58,0,1,.000,0,0,,0,0,,0,3,3,3,0,0,0,1,0,1.9,+1
11,Damian Jones,Did Not Play,,,,,,,,,,,,,,,,,,,,
