,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jordan Clarkson,33:16,13,19,.684,4,9,.444,0,0,,0,1,1,3,2,0,1,2,30,24.5,+8
1,John Collins,32:13,6,16,.375,2,5,.400,0,0,,4,6,10,2,1,3,1,3,14,12.1,+6
2,Lauri Markkanen,31:06,8,18,.444,2,9,.222,3,4,.750,1,8,9,0,1,1,0,1,21,15.6,+9
3,Keyonte George,26:20,4,9,.444,2,7,.286,5,5,1.000,0,4,4,7,1,0,2,2,15,14.6,+8
4,Ochai Agbaji,25:51,2,7,.286,0,2,.000,2,2,1.000,4,4,8,1,2,1,0,1,6,8.9,+5
5,Collin Sexton,28:11,5,11,.455,1,5,.200,2,2,1.000,0,4,4,7,2,1,2,3,13,12.9,+14
6,Kelly Olynyk,23:53,4,8,.500,2,3,.667,2,2,1.000,6,6,12,3,1,0,3,1,12,13.7,+11
7,Talen Horton-Tucker,20:59,2,5,.400,0,1,.000,0,0,,1,2,3,3,1,0,2,3,4,2.5,+8
8,Simone Fontecchio,16:08,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.9,+11
9,Kris Dunn,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0
10,Luka Šamanić,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
11,Omer Yurtseven,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
