,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jalen Brunson,40:58,8,19,.421,6,10,.600,2,2,1.000,0,0,0,8,0,0,3,2,24,15.7,+8
1,Julius Randle,38:50,12,24,.500,3,5,.600,2,2,1.000,2,8,10,8,1,0,1,4,29,24.8,+12
2,Josh Hart,33:03,4,9,.444,1,4,.250,0,0,,2,6,8,5,0,1,2,4,9,8.1,+7
3,Mitchell Robinson,30:40,3,3,1.000,0,0,,0,0,,6,9,15,0,3,1,1,0,6,14.7,+8
4,Quentin Grimes,28:31,4,11,.364,3,8,.375,0,0,,0,1,1,1,1,0,3,3,11,2.7,+2
5,Immanuel Quickley,28:23,6,11,.545,3,5,.600,5,6,.833,0,0,0,4,1,0,2,3,20,14.9,-12
6,Donte DiVincenzo,21:36,3,8,.375,0,2,.000,0,0,,1,3,4,3,2,0,4,1,6,2.9,-8
7,Isaiah Hartenstein,17:16,5,9,.556,0,0,,1,1,1.000,3,1,4,0,1,0,0,2,11,9.3,-5
8,Miles McBride,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
9,Ryan Arcidiacono,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Evan Fournier,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,DaQuan Jeffries,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Jericho Sims,Did Not Play,,,,,,,,,,,,,,,,,,,,
