,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Zach LaVine,40:46,12,20,.600,4,11,.364,6,7,.857,0,6,6,3,1,0,3,4,34,24.7,+2
1,DeMar DeRozan,36:02,10,20,.500,1,1,1.000,2,4,.500,0,4,4,3,1,0,3,1,23,13.1,-6
2,Nikola Vučević,30:10,4,16,.250,0,3,.000,2,2,1.000,3,7,10,6,0,0,1,4,10,6.2,-4
3,Coby White,29:45,2,6,.333,0,3,.000,0,1,.000,0,1,1,4,1,0,2,2,4,1.5,+9
4,Alex Caruso,23:06,5,6,.833,4,5,.800,4,4,1.000,0,1,1,0,3,2,1,4,18,17.9,+7
5,Torrey Craig,25:55,1,3,.333,1,3,.333,0,0,,0,1,1,0,1,0,1,3,3,0.4,-15
6,Andre Drummond,17:50,1,2,.500,0,1,.000,3,4,.750,2,4,6,0,2,1,2,1,5,6.5,-2
7,Ayo Dosunmu,13:36,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,-1.2,-12
8,Patrick Williams,13:01,0,3,.000,0,1,.000,0,0,,0,2,2,1,1,0,3,1,0,-3.2,-9
9,Jevon Carter,9:48,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,0
10,Julian Phillips,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Terry Taylor,Did Not Play,,,,,,,,,,,,,,,,,,,,
