,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jalen Brunson,38:52,12,21,.571,4,8,.500,4,4,1.000,0,4,4,7,0,0,2,2,32,25.4,+15
1,Julius Randle,37:40,8,17,.471,2,5,.400,3,7,.429,0,6,6,8,0,0,4,4,21,12.5,+9
2,Mitchell Robinson,33:18,2,5,.400,0,0,,0,0,,11,3,14,1,0,3,3,0,4,9.7,+9
3,Donte DiVincenzo,28:28,9,12,.750,7,10,.700,0,0,,0,3,3,3,3,1,0,1,25,26.5,+11
4,RJ Barrett,25:51,5,15,.333,1,5,.200,4,5,.800,0,3,3,3,1,0,1,0,15,9.1,+16
5,Josh Hart,28:39,3,5,.600,1,2,.500,0,0,,0,6,6,4,3,0,0,0,7,12.3,+7
6,Immanuel Quickley,23:22,4,11,.364,0,5,.000,1,1,1.000,0,4,4,1,0,0,1,3,9,2.6,-1
7,Isaiah Hartenstein,14:41,1,2,.500,0,0,,2,2,1.000,2,5,7,0,0,0,1,1,4,4.5,+5
8,Miles McBride,9:08,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,0,2,5,2.9,-1
9,Ryan Arcidiacono,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,DaQuan Jeffries,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jericho Sims,Did Not Play,,,,,,,,,,,,,,,,,,,,
