,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,LaMelo Ball,35:44,.743,.727,.591,.091,0.0,14.9,8.1,50.6,1.4,0.0,11.6,34.5,131,127,12.4
1,Brandon Miller,33:44,.865,.833,.467,.267,0.0,9.5,5.1,11.0,0.0,0.0,10.7,26.5,141,132,6.6
2,P.J. Washington,32:44,.150,.150,.700,.000,0.0,19.6,10.6,7.6,1.5,5.4,37.5,23.3,27,122,-21.1
3,Gordon Hayward,32:20,.254,.143,.286,.286,0.0,9.9,5.4,15.4,3.1,0.0,0.0,11.6,82,125,-8.6
4,Mark Williams,30:14,.595,.600,.000,.400,8.4,21.2,15.3,18.0,0.0,2.9,14.5,10.8,132,126,-1.7
5,Miles Bridges,31:32,.713,.708,.083,.250,0.0,13.5,7.3,16.4,1.6,2.8,7.0,21.6,131,125,3.6
6,Ish Smith,17:26,.583,.583,.333,.000,0.0,18.4,10.0,34.7,0.0,0.0,0.0,16.4,135,129,0.3
7,Bryce McGowens,15:40,.000,.000,.500,.000,8.1,6.8,7.4,7.7,0.0,0.0,0.0,6.1,67,132,-12.9
8,JT Thor,10:35,.833,.833,.667,.000,11.9,10.1,10.9,0.0,0.0,8.4,0.0,13.5,159,126,4.8
9,Théo Maledon,Did Not Play,,,,,,,,,,,,,,,
10,Nick Smith Jr.,Did Not Play,,,,,,,,,,,,,,,
