,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Ausar Thompson,30:16,3,5,.600,0,1,.000,3,4,.750,1,9,10,2,1,1,5,6,9,5.4,-21
1,Jaden Ivey,28:04,3,10,.300,0,5,.000,3,4,.750,0,3,3,4,0,0,0,1,9,6.1,0
2,Cade Cunningham,26:50,7,17,.412,3,5,.600,1,3,.333,2,3,5,4,0,0,3,2,18,9.4,-22
3,Kevin Knox,26:29,2,11,.182,1,5,.200,1,2,.500,1,3,4,0,1,0,2,3,6,-1.9,-22
4,Isaiah Stewart,20:49,3,7,.429,1,2,.500,1,1,1.000,1,4,5,1,0,0,0,1,8,6.5,-11
5,Stanley Umude,25:22,5,6,.833,2,3,.667,7,8,.875,0,4,4,3,0,1,1,2,19,18.6,-12
6,James Wiseman,24:05,6,8,.750,0,0,,3,5,.600,0,3,3,1,0,1,2,4,15,9.7,0
7,Alec Burks,22:00,3,9,.333,1,3,.333,7,8,.875,1,3,4,1,0,0,1,3,14,8.6,-29
8,Marcus Sasser,21:10,4,6,.667,1,2,.500,0,0,,0,1,1,6,1,0,3,1,9,8.5,-7
9,Marvin Bagley III,14:55,3,4,.750,0,0,,0,0,,1,1,2,3,0,0,0,0,6,7.5,-21
10,Jalen Duren,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Killian Hayes,Did Not Dress,,,,,,,,,,,,,,,,,,,,
12,Isaiah Livers,Did Not Dress,,,,,,,,,,,,,,,,,,,,
