,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tyrese Haliburton,25:16,4,14,.286,1,3,.333,3,3,1.000,0,2,2,3,0,1,4,2,12,2.4,-30
1,Bennedict Mathurin,25:00,4,12,.333,1,3,.333,5,5,1.000,0,6,6,3,1,0,0,6,14,9.7,-7
2,Myles Turner,22:34,3,10,.300,0,3,.000,4,6,.667,3,1,4,3,1,3,1,2,10,9.2,-20
3,Bruce Brown,21:53,4,7,.571,1,2,.500,2,2,1.000,0,5,5,1,0,1,1,3,11,8.4,-20
4,Obi Toppin,16:05,3,8,.375,0,3,.000,0,0,,2,2,4,2,0,0,2,2,6,2.2,-14
5,Jordan Nwora,23:11,8,11,.727,2,5,.400,1,1,1.000,2,3,5,1,3,0,1,3,19,18.3,+18
6,T.J. McConnell,20:35,5,9,.556,0,1,.000,1,3,.333,1,3,4,5,0,0,2,1,11,8.6,+2
7,Ben Sheppard,16:10,2,5,.400,1,3,.333,2,2,1.000,0,0,0,2,1,0,1,0,7,5.7,+25
8,Buddy Hield,14:59,1,4,.250,1,4,.250,0,0,,0,1,1,2,0,0,1,4,3,-0.3,-15
9,Aaron Nesmith,14:51,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.9,-22
10,Jarace Walker,14:00,3,6,.500,0,3,.000,1,1,1.000,0,1,1,1,1,1,1,2,7,4.9,+15
11,Jalen Smith,13:26,4,5,.800,1,1,1.000,1,2,.500,2,2,4,0,0,0,2,3,10,6.5,-9
12,Isaiah Jackson,12:00,1,2,.500,0,0,,4,6,.667,1,2,3,1,3,1,0,2,6,9.1,+17
