,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Miles Bridges,44:58,.448,.308,.538,.462,0.0,34.7,16.8,13.9,1.1,0.0,6.0,15.8,110,109,-1.8
1,LaMelo Ball,41:21,.656,.648,.407,.037,4.7,17.6,11.0,38.3,2.4,2.7,15.4,33.4,120,108,10.3
2,Brandon Miller,39:46,.375,.375,.333,.000,9.9,7.8,8.9,13.1,2.5,2.8,14.3,15.0,95,111,-3.5
3,Gordon Hayward,39:11,.540,.433,.133,.533,7.5,5.3,6.4,14.3,1.3,2.9,9.7,22.3,119,115,-0.5
4,Mark Williams,32:52,.605,.571,.000,.143,23.9,25.3,24.6,9.7,1.5,10.3,6.3,20.6,137,104,5.2
5,P.J. Washington,28:09,.577,.577,.692,.000,0.0,3.7,1.8,5.4,3.5,4.0,0.0,19.7,123,110,4.6
6,Ish Smith,20:21,.750,.750,.000,.000,0.0,10.2,5.0,20.5,0.0,0.0,20.0,10.5,130,118,-2.1
7,Bryce McGowens,13:49,.250,.250,1.000,.000,0.0,15.0,7.3,18.2,0.0,0.0,14.3,21.6,64,116,-13.4
8,JT Thor,4:30,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,-11.8
9,James Bouknight,Did Not Dress,,,,,,,,,,,,,,,
10,Théo Maledon,Did Not Play,,,,,,,,,,,,,,,
11,Nick Smith Jr.,Did Not Play,,,,,,,,,,,,,,,
