,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tyrese Maxey,46:48,11,28,.393,3,12,.250,5,7,.714,0,4,4,6,1,0,1,2,30,18.6,-8
1,Tobias Harris,42:47,7,13,.538,3,5,.600,6,6,1.000,0,2,2,2,2,0,0,3,23,19.5,-6
2,De'Anthony Melton,41:12,5,14,.357,1,6,.167,2,3,.667,4,2,6,3,2,0,1,3,13,10.1,+1
3,Joel Embiid,41:01,9,21,.429,1,3,.333,13,16,.813,3,10,13,5,2,5,6,6,32,25.4,+3
4,Nicolas Batum,26:58,2,5,.400,1,4,.250,0,0,,0,4,4,2,0,0,2,5,5,0.9,-3
5,Patrick Beverley,20:46,1,2,.500,0,1,.000,0,0,,1,3,4,0,2,1,1,3,2,3.1,+11
6,Robert Covington,14:22,1,3,.333,1,2,.500,0,0,,3,4,7,1,2,2,1,0,3,7.7,-3
7,Danuel House Jr.,12:06,2,5,.400,1,2,.500,2,2,1.000,0,0,0,0,0,0,1,0,7,3.3,+3
8,Paul Reed,9:04,2,4,.500,0,0,,0,0,,2,1,3,0,1,0,0,1,4,4.3,-5
9,Jaden Springer,6:59,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-1.8,-7
10,Marcus Morris,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
11,Mo Bamba,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Furkan Korkmaz,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,KJ Martin,Did Not Play,,,,,,,,,,,,,,,,,,,,
