,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tyrese Haliburton,38:31,11,18,.611,9,15,.600,6,7,.857,1,4,5,16,3,1,6,0,37,39.2,+16
1,Buddy Hield,30:53,9,11,.818,6,6,1.000,0,0,,1,1,2,1,0,0,1,3,24,19.4,+20
2,Bruce Brown,30:28,5,10,.500,2,5,.400,1,2,.500,0,0,0,3,2,0,2,4,13,8.1,-1
3,Myles Turner,25:26,4,7,.571,0,2,.000,3,4,.750,1,8,9,1,0,4,1,3,11,11.7,+5
4,Aaron Nesmith,24:40,6,9,.667,1,3,.333,4,5,.800,1,0,1,1,1,1,0,4,17,14.2,+4
5,Obi Toppin,33:53,9,16,.563,1,6,.167,2,2,1.000,0,1,1,6,1,1,2,3,21,16.4,-3
6,Bennedict Mathurin,20:29,7,10,.700,2,4,.500,3,4,.750,0,2,2,1,0,0,0,2,19,14.9,-1
7,T.J. McConnell,13:46,1,5,.200,0,0,,0,0,,0,0,0,4,0,0,0,1,2,1.3,-4
8,Isaiah Jackson,12:08,1,1,1.000,0,0,,0,0,,1,4,5,1,0,4,1,5,2,4.1,+8
9,Jalen Smith,5:13,2,2,1.000,0,0,,2,4,.500,2,1,3,0,0,0,0,0,6,6.3,-10
10,Ben Sheppard,4:33,2,5,.400,1,4,.250,0,0,,0,1,1,1,0,0,0,0,5,3.3,-9
11,Jordan Nwora,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Jarace Walker,Did Not Play,,,,,,,,,,,,,,,,,,,,
