,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Paul George,36:02,8,23,.348,4,12,.333,4,4,1.000,1,7,8,3,2,0,2,3,24,14.8,+7
1,Kawhi Leonard,35:47,10,17,.588,2,6,.333,4,4,1.000,0,4,4,4,2,0,1,3,26,21.9,-2
2,James Harden,35:47,3,7,.429,2,4,.500,8,12,.667,0,6,6,9,1,1,4,3,16,15.3,-2
3,Ivica Zubac,25:54,5,7,.714,0,0,,2,2,1.000,2,6,8,1,0,0,0,2,12,12.2,-4
4,Terance Mann,22:33,2,5,.400,0,3,.000,2,4,.500,0,2,2,1,2,1,1,3,6,4.3,+3
5,Russell Westbrook,27:01,3,8,.375,0,1,.000,2,2,1.000,1,5,6,7,2,0,4,4,8,7.1,+3
6,Daniel Theis,20:21,4,11,.364,0,0,,0,0,,5,6,11,4,0,0,1,2,8,8.2,+12
7,Norman Powell,13:39,2,4,.500,1,1,1.000,0,1,.000,0,1,1,0,0,1,2,1,5,1.2,+1
8,P.J. Tucker,12:45,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-1.1,+9
9,Amir Coffey,10:10,2,3,.667,0,1,.000,0,0,,1,2,3,0,1,0,0,0,4,5.0,+8
10,Kobe Brown,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Moussa Diabaté,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Bones Hyland,Did Not Play,,,,,,,,,,,,,,,,,,,,
