,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tyrese Maxey,33:40,7,19,.368,0,5,.000,2,4,.500,2,3,5,8,0,1,3,0,16,10.3,-18
1,Tobias Harris,32:19,4,11,.364,0,3,.000,7,8,.875,1,5,6,2,0,1,1,1,15,11.4,-15
2,De'Anthony Melton,30:16,3,11,.273,1,5,.200,9,9,1.000,1,5,6,3,0,1,1,2,16,12.7,-6
3,Nicolas Batum,24:12,2,4,.500,2,4,.500,0,0,,0,3,3,0,0,1,1,2,6,3.8,-23
4,Marcus Morris,16:14,6,12,.500,3,5,.600,1,1,1.000,2,2,4,2,1,2,2,5,16,11.8,-7
5,Paul Reed,26:01,5,9,.556,0,0,,0,0,,6,3,9,1,2,4,1,4,10,13.7,-10
6,Robert Covington,19:46,2,4,.500,0,1,.000,1,2,.500,1,5,6,0,0,2,0,2,5,5.4,+6
7,Danuel House Jr.,16:41,1,5,.200,0,3,.000,1,2,.500,0,2,2,2,3,0,1,2,3,2.7,-2
8,Patrick Beverley,15:40,1,2,.500,0,1,.000,0,0,,0,0,0,2,0,0,2,2,2,-0.4,-16
9,Jaden Springer,8:25,0,4,.000,0,2,.000,0,0,,2,1,3,1,1,0,2,1,0,-1.8,+2
10,Mo Bamba,5:35,1,2,.500,0,1,.000,2,2,1.000,1,1,2,0,0,0,0,0,4,4.0,+8
11,Furkan Korkmaz,5:35,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,0,0,3,3.3,+8
12,KJ Martin,5:35,1,2,.500,0,0,,1,2,.500,0,1,1,0,1,0,0,2,3,2.1,+8
