,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Pascal Siakam,37:29,6,12,.500,1,6,.167,5,6,.833,0,3,3,8,1,0,3,2,18,15.3,+14
1,OG Anunoby,33:56,10,14,.714,5,7,.714,1,2,.500,1,5,6,3,1,0,2,2,26,22.3,+9
2,Dennis Schröder,33:56,6,16,.375,1,9,.111,4,4,1.000,0,0,0,5,0,0,3,2,17,7.9,+9
3,Scottie Barnes,32:34,5,11,.455,2,5,.400,1,2,.500,5,5,10,6,1,2,1,1,13,17.1,+19
4,Jakob Poeltl,30:34,7,8,.875,0,0,,1,5,.200,4,6,10,3,2,1,1,1,15,18.6,+15
5,Gary Trent Jr.,20:30,6,13,.462,4,9,.444,0,0,,0,1,1,2,1,0,0,3,16,10.8,-4
6,Precious Achiuwa,17:35,3,4,.750,0,0,,2,2,1.000,3,4,7,4,0,3,2,0,8,12.6,-2
7,Malachi Flynn,14:04,0,2,.000,0,2,.000,2,2,1.000,0,1,1,1,1,0,1,1,2,1.2,+4
8,Chris Boucher,10:20,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,1,0,0,1,4,3.2,-1
9,Gradey Dick,9:01,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,1,1,2,0.9,+2
10,Jalen McDaniels,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Otto Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Garrett Temple,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Thaddeus Young,Did Not Play,,,,,,,,,,,,,,,,,,,,
