,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Zach LaVine,39:13,8,18,.444,1,5,.200,3,4,.750,0,6,6,4,0,0,0,1,20,14.4,+1
1,DeMar DeRozan,37:49,11,22,.500,2,4,.500,3,5,.600,2,4,6,6,1,0,1,2,27,21.2,+5
2,Coby White,37:45,7,16,.438,5,12,.417,4,4,1.000,1,4,5,4,0,1,1,3,23,17.8,+7
3,Nikola Vučević,36:38,3,9,.333,0,3,.000,0,0,,1,8,9,5,1,1,2,5,6,5.2,+2
4,Patrick Williams,34:36,7,9,.778,4,5,.800,2,2,1.000,1,3,4,0,0,0,1,2,20,16.3,+14
5,Torrey Craig,20:15,1,2,.500,0,0,,2,2,1.000,2,1,3,0,0,0,2,0,4,2.7,-25
6,Ayo Dosunmu,14:07,2,3,.667,0,1,.000,1,2,.500,1,1,2,2,0,0,1,2,5,3.9,-21
7,Andre Drummond,11:22,1,2,.500,0,0,,2,3,.667,2,3,5,0,1,0,2,3,4,2.7,-11
8,Jevon Carter,8:15,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-17
9,Julian Phillips,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Terry Taylor,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Dalen Terry,Did Not Play,,,,,,,,,,,,,,,,,,,,
