,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Kawhi Leonard,39:00,10,26,.385,2,5,.400,9,9,1.000,1,7,8,3,1,2,2,0,31,22.1,-5
1,Paul George,36:44,2,13,.154,0,4,.000,2,2,1.000,3,5,8,4,1,1,3,5,6,0.8,-11
2,James Harden,36:28,3,7,.429,3,5,.600,2,2,1.000,0,2,2,4,1,0,3,3,11,7.5,+6
3,Ivica Zubac,32:10,9,15,.600,0,0,,5,8,.625,8,6,14,1,0,1,1,2,23,21.9,-6
4,Terance Mann,29:32,2,3,.667,0,1,.000,1,2,.500,1,2,3,0,0,1,1,2,5,3.5,-11
5,Russell Westbrook,26:45,5,9,.556,0,0,,4,6,.667,1,10,11,3,0,1,2,4,14,11.8,-11
6,Norman Powell,21:12,2,8,.250,1,5,.200,5,5,1.000,1,1,2,1,1,1,0,3,10,7.4,-10
7,Daniel Theis,12:11,2,4,.500,0,0,,0,0,,1,0,1,1,0,2,1,3,4,2.6,0
8,P.J. Tucker,5:56,0,0,,0,0,,0,0,,0,0,0,1,2,0,0,1,0,2.3,+3
9,Kobe Brown,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Amir Coffey,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Moussa Diabaté,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Bones Hyland,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Jordan Miller,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Xavier Moon,Did Not Play,,,,,,,,,,,,,,,,,,,,
