,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Bam Adebayo,42:11,13,27,.481,0,0,,5,7,.714,2,8,10,5,0,2,2,3,31,22.0,-16
1,Josh Richardson,36:34,7,13,.538,3,7,.429,3,4,.750,1,2,3,7,0,0,0,2,20,18.7,-10
2,Kyle Lowry,33:42,7,10,.700,3,5,.600,4,4,1.000,0,4,4,6,1,1,1,5,21,20.9,-4
3,Duncan Robinson,31:24,5,11,.455,3,7,.429,0,2,.000,0,3,3,3,0,1,2,3,13,7.0,-14
4,Kevin Love,25:56,2,11,.182,2,5,.400,0,0,,4,6,10,4,0,0,0,2,6,5.7,-4
5,Jaime Jaquez Jr.,32:50,7,9,.778,0,1,.000,0,0,,1,3,4,6,1,1,1,5,14,15.0,+5
6,Caleb Martin,25:56,6,11,.545,2,3,.667,0,0,,0,1,1,1,1,0,0,2,14,9.9,+5
7,Jamal Cain,11:25,1,2,.500,1,2,.500,2,4,.500,0,0,0,0,0,0,0,0,5,3.2,+3
8,Thomas Bryant,Did Not Play,,,,,,,,,,,,,,,,,,,,
9,Jimmy Butler,Did Not Dress,,,,,,,,,,,,,,,,,,,,
10,Haywood Highsmith,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Nikola Jović,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Cole Swider,Did Not Play,,,,,,,,,,,,,,,,,,,,
