,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tyrese Haliburton,39:44,15,28,.536,6,16,.375,8,12,.667,0,2,2,10,3,1,2,0,44,38.1,-6
1,Obi Toppin,33:15,10,15,.667,3,7,.429,2,5,.400,1,1,2,3,0,1,2,5,25,17.1,+6
2,Bruce Brown,32:17,5,9,.556,0,2,.000,5,7,.714,1,5,6,3,0,0,0,1,15,13.8,-6
3,Buddy Hield,30:53,5,16,.313,2,11,.182,0,0,,1,4,5,5,1,2,1,6,12,7.2,-13
4,Myles Turner,29:04,5,14,.357,0,5,.000,3,5,.600,4,5,9,2,0,1,0,3,13,9.6,-13
5,Bennedict Mathurin,23:42,5,7,.714,0,0,,2,2,1.000,0,3,3,0,0,0,1,1,12,8.6,-14
6,Aaron Nesmith,22:34,4,5,.800,0,1,.000,1,1,1.000,3,2,5,1,4,0,1,6,9,11.1,-2
7,Andrew Nembhard,22:24,1,4,.250,0,1,.000,0,0,,0,1,1,5,2,0,2,6,2,1.0,0
8,Isaiah Jackson,5:51,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,3,0,0.8,-2
9,Ben Sheppard,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
10,Jarace Walker,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
11,T.J. McConnell,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Jordan Nwora,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Oscar Tshiebwe,Did Not Play,,,,,,,,,,,,,,,,,,,,
