,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Anthony Davis,35:59,11,18,.611,0,1,.000,9,10,.900,1,13,14,2,2,0,0,1,31,30.0,-12
1,LeBron James,35:03,7,12,.583,4,8,.500,3,4,.750,2,10,12,6,1,1,5,1,21,19.9,-18
2,D'Angelo Russell,32:07,6,13,.462,2,5,.400,2,2,1.000,1,2,3,10,1,0,2,3,16,15.4,-4
3,Taurean Prince,31:48,2,7,.286,2,5,.400,0,0,,0,1,1,2,0,0,1,5,6,0.6,-10
4,Max Christie,20:53,3,7,.429,2,3,.667,0,0,,0,0,0,0,2,1,1,4,8,4.4,-2
5,Austin Reaves,28:47,5,9,.556,1,4,.250,3,3,1.000,0,2,2,3,0,0,2,2,14,9.6,-23
6,Christian Wood,20:29,1,6,.167,0,2,.000,5,7,.714,1,3,4,1,0,0,1,1,7,3.3,-11
7,Jalen Hood-Schifino,18:48,1,6,.167,0,3,.000,1,2,.500,0,1,1,0,0,0,1,3,3,-3.1,-15
8,Colin Castleton,4:01,0,1,.000,0,0,,2,2,1.000,1,2,3,0,0,0,0,0,2,2.6,-5
9,Alex Fudge,4:01,0,1,.000,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,0,2,2.0,-5
10,D'Moi Hodge,4:01,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
11,Maxwell Lewis,4:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
12,Cam Reddish,Did Not Dress,,,,,,,,,,,,,,,,,,,,
