,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Damian Lillard,42:33,7,16,.438,1,6,.167,3,4,.750,1,4,5,13,2,1,7,1,18,15.5,+9
1,Malik Beasley,41:02,7,19,.368,5,15,.333,0,0,,0,3,3,3,2,0,1,2,19,11.7,+1
2,Brook Lopez,38:54,7,12,.583,6,10,.600,0,0,,0,4,4,0,0,0,1,5,20,12.6,+2
3,Giannis Antetokounmpo,38:52,11,17,.647,0,1,.000,4,4,1.000,6,8,14,5,2,5,5,5,26,27.1,-8
4,Khris Middleton,26:40,3,10,.300,1,4,.250,2,5,.400,0,3,3,3,2,0,3,3,9,2.8,-8
5,Bobby Portis,31:13,2,8,.250,0,2,.000,0,0,,1,8,9,2,2,0,0,3,4,4.5,-14
6,MarJon Beauchamp,22:18,3,7,.429,1,4,.250,0,0,,0,3,3,0,0,0,2,1,7,1.8,+11
7,Andre Jackson Jr.,11:58,2,3,.667,0,1,.000,0,0,,1,0,1,1,2,0,1,1,4,4.7,-8
8,Cameron Payne,11:30,2,6,.333,2,5,.400,0,0,,0,1,1,1,0,0,0,0,6,3.6,-20
9,Thanasis Antetokounmpo,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,A.J. Green,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Robin Lopez,Did Not Play,,,,,,,,,,,,,,,,,,,,
