,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Kawhi Leonard,38:45,9,16,.563,2,5,.400,0,0,,0,8,8,7,1,0,3,2,20,16.9,+8
1,Paul George,38:05,8,17,.471,4,8,.500,5,5,1.000,0,6,6,6,1,0,1,5,25,20.3,+5
2,James Harden,35:02,7,14,.500,2,7,.286,5,5,1.000,0,5,5,9,1,0,1,4,21,20.2,0
3,Terance Mann,24:03,1,6,.167,1,5,.200,0,0,,1,1,2,2,1,0,0,1,3,2.2,-5
4,Ivica Zubac,22:40,6,6,1.000,0,0,,0,0,,1,6,7,1,0,3,3,4,12,10.9,+1
5,Norman Powell,29:33,5,12,.417,2,5,.400,0,0,,1,0,1,0,0,0,2,1,12,3.9,+14
6,Daniel Theis,21:56,6,11,.545,0,2,.000,0,0,,2,2,4,1,1,2,1,3,12,9.6,-1
7,Russell Westbrook,18:52,2,5,.400,2,4,.500,2,4,.500,0,6,6,2,0,1,0,0,8,8.4,-11
8,Kobe Brown,11:04,0,3,.000,0,3,.000,0,0,,0,1,1,3,0,0,0,1,0,-0.1,-6
9,Amir Coffey,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Moussa Diabaté,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Bones Hyland,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Xavier Moon,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,P.J. Tucker,Did Not Play,,,,,,,,,,,,,,,,,,,,
