,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Shai Gilgeous-Alexander,38:33,6,13,.462,2,3,.667,3,4,.750,1,2,3,9,5,1,2,4,17,19.6,+8
1,Luguentz Dort,32:32,4,13,.308,1,6,.167,1,2,.500,1,4,5,3,0,0,2,4,10,2.5,-10
2,Chet Holmgren,30:19,4,10,.400,0,3,.000,3,4,.750,3,8,11,3,1,4,2,3,11,12.4,+4
3,Jalen Williams,29:36,9,19,.474,3,5,.600,2,2,1.000,2,3,5,5,1,0,1,3,23,17.9,-2
4,Josh Giddey,16:36,4,13,.308,2,6,.333,0,0,,2,1,3,1,0,0,2,1,10,2.5,+1
5,Isaiah Joe,25:07,2,6,.333,2,5,.400,0,0,,1,6,7,2,0,0,0,1,6,6.1,+10
6,Cason Wallace,20:17,6,12,.500,2,7,.286,1,2,.500,2,4,6,0,0,0,0,3,15,10.0,0
7,Jaylin Williams,14:36,4,6,.667,4,5,.800,2,2,1.000,1,2,3,0,0,0,1,1,14,11.3,+16
8,Kenrich Williams,11:21,2,4,.500,1,1,1.000,0,0,,3,3,6,0,0,0,2,1,5,3.6,-13
9,Dāvis Bertāns,11:11,3,3,1.000,3,3,1.000,6,6,1.000,0,1,1,1,1,0,0,3,15,14.9,+16
10,Aaron Wiggins,9:52,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
11,Tre Mann,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Vasilije Micić,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Aleksej Pokusevski,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Olivier Sarr,Did Not Play,,,,,,,,,,,,,,,,,,,,
