,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Paolo Banchero,33:56,6,15,.400,0,2,.000,7,9,.778,1,9,10,8,1,0,1,3,19,17.9,-16
1,Franz Wagner,33:41,6,16,.375,2,3,.667,6,6,1.000,1,6,7,5,0,1,1,5,20,14.9,-17
2,Jalen Suggs,22:27,3,7,.429,1,3,.333,0,0,,0,0,0,2,1,1,4,5,7,0.4,-14
3,Anthony Black,19:26,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,0,3,2,2.1,-5
4,Goga Bitadze,15:26,1,6,.167,0,0,,1,2,.500,3,2,5,0,0,1,0,2,3,1.4,-4
5,Cole Anthony,31:25,8,17,.471,2,6,.333,2,2,1.000,1,5,6,1,0,1,1,3,20,12.7,-32
6,Moritz Wagner,21:34,6,9,.667,2,2,1.000,4,5,.800,1,1,2,2,0,1,2,2,18,14.0,-12
7,Gary Harris,20:45,2,8,.250,0,5,.000,0,0,,0,1,1,2,0,0,0,1,4,0.5,-7
8,Joe Ingles,16:29,1,2,.500,1,1,1.000,2,3,.667,1,1,2,2,1,0,1,2,5,5.2,-10
9,Caleb Houstan,16:07,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,0.9,-13
10,Chuma Okeke,4:22,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-5
11,Admiral Schofield,4:22,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,-5
12,Jonathan Isaac,Did Not Play,,,,,,,,,,,,,,,,,,,,
