,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Damian Lillard,33:59,8,13,.615,5,7,.714,7,8,.875,1,2,3,7,1,1,3,4,28,25.0,+17
1,Giannis Antetokounmpo,33:49,15,22,.682,1,1,1.000,4,9,.444,3,5,8,10,3,0,4,3,35,32.0,+19
2,Brook Lopez,33:31,4,8,.500,1,4,.250,0,0,,2,6,8,3,3,3,0,4,9,13.8,+28
3,Malik Beasley,32:45,6,11,.545,6,10,.600,0,0,,0,3,3,0,0,0,0,4,18,12.0,+16
4,Khris Middleton,26:21,6,12,.500,2,3,.667,0,0,,2,2,4,7,1,0,2,1,14,13.5,+11
5,Bobby Portis,23:42,5,9,.556,1,3,.333,2,2,1.000,2,2,4,1,0,2,1,4,13,10.2,-7
6,MarJon Beauchamp,19:10,2,3,.667,2,2,1.000,0,0,,0,2,2,1,1,0,0,1,6,6.6,+9
7,A.J. Green,15:11,3,4,.750,3,4,.750,0,0,,0,0,0,1,0,0,0,0,9,8.1,+8
8,Cameron Payne,14:01,5,6,.833,2,3,.667,0,0,,0,2,2,2,1,0,1,2,12,11.0,+7
9,Thanasis Antetokounmpo,2:29,1,1,1.000,0,0,,0,0,,1,0,1,0,1,0,0,0,2,3.4,+4
10,Chris Livingston,2:29,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,0,0,0.3,+4
11,Robin Lopez,2:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+4
12,Andre Jackson Jr.,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
13,Marques Bolden,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Lindell Wigginton,Did Not Play,,,,,,,,,,,,,,,,,,,,
