,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Nikola Jokić,37:07,9,32,.281,2,7,.286,2,2,1.000,5,10,15,10,1,0,4,2,22,12.9,+1
1,Kentavious Caldwell-Pope,34:10,1,4,.250,1,3,.333,0,0,,0,1,1,3,1,0,0,1,3,3.6,+2
2,Michael Porter Jr.,33:34,7,8,.875,4,5,.800,0,0,,3,6,9,0,0,1,2,2,18,17.0,+4
3,Aaron Gordon,31:15,4,9,.444,0,0,,0,0,,2,4,6,2,2,0,0,2,8,8.5,+6
4,Jamal Murray,29:11,10,18,.556,2,7,.286,1,1,1.000,0,0,0,6,1,1,1,4,23,17.7,+2
5,Reggie Jackson,18:49,4,10,.400,3,4,.750,3,4,.750,0,1,1,3,1,0,2,1,14,9.2,-11
6,Peyton Watson,16:18,0,3,.000,0,2,.000,2,2,1.000,0,3,3,3,1,1,1,1,2,3.2,-15
7,Christian Braun,15:59,4,6,.667,0,1,.000,0,0,,1,4,5,0,0,1,0,3,8,6.8,-17
8,Julian Strawther,12:53,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,1,4,0,-2.3,-9
9,DeAndre Jordan,10:44,2,6,.333,0,0,,0,0,,3,2,5,0,0,1,0,0,4,4.0,-8
10,Collin Gillespie,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Justin Holiday,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Braxton Key,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Zeke Nnaji,Did Not Play,,,,,,,,,,,,,,,,,,,,
