,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Darius Garland,39:53,10,18,.556,1,4,.250,5,5,1.000,2,1,3,9,0,0,0,1,26,25.0,+8
1,Donovan Mitchell,37:02,12,24,.500,5,10,.500,6,9,.667,2,5,7,6,1,0,4,3,35,24.7,0
2,Evan Mobley,36:30,8,12,.667,0,0,,0,0,,1,4,5,2,1,1,4,5,16,9.8,+13
3,Max Strus,31:27,5,10,.500,4,8,.500,3,4,.750,1,4,5,6,1,0,1,5,17,15.7,+4
4,Jarrett Allen,19:20,4,5,.800,0,0,,0,0,,2,9,11,2,1,0,4,5,8,6.6,+2
5,Isaac Okoro,28:44,0,4,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,1,0,-1.2,+16
6,Georges Niang,27:31,4,7,.571,2,5,.400,0,0,,1,4,5,3,0,0,2,4,10,7.1,+14
7,Dean Wade,13:55,3,6,.500,2,5,.400,0,0,,1,4,5,0,0,0,0,2,8,6.1,-4
8,Tristan Thompson,5:36,0,0,,0,0,,1,2,.500,0,3,3,0,0,1,0,1,1,1.8,-3
9,Damian Jones,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Sam Merrill,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Craig Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
