,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Stephen Curry,34:28,.679,.583,.722,.611,0.0,15.1,7.7,5.6,0.0,0.0,14.9,31.8,123,113,5.5
1,Draymond Green,30:34,.571,.429,.286,.571,21.4,13.7,17.4,45.2,0.0,6.4,31.3,17.1,119,109,8.0
2,Andrew Wiggins,27:24,.338,.250,.083,.250,4.0,7.6,5.8,5.7,0.0,0.0,7.0,21.3,83,115,-10.4
3,Klay Thompson,27:03,.373,.269,.615,.308,0.0,19.3,9.9,5.8,0.0,0.0,0.0,22.3,96,111,-6.5
4,Kevon Looney,16:01,.436,.333,.000,.333,13.6,39.1,26.6,0.0,3.1,0.0,0.0,17.5,115,97,-1.2
5,Moses Moody,26:11,.575,.550,.400,.100,8.3,8.0,8.1,0.0,1.9,3.7,8.7,17.8,117,108,1.9
6,Brandin Podziemski,21:12,.387,.500,.333,.667,5.1,19.7,12.6,6.7,0.0,0.0,20.5,9.4,79,111,-6.0
7,Chris Paul,20:29,.250,.250,.500,.000,5.3,10.2,7.8,41.8,0.0,0.0,33.3,12.0,85,114,-6.8
8,Dario Šarić,19:51,.742,.714,.429,.571,11.0,21.0,16.1,0.0,0.0,0.0,31.3,26.3,101,110,-2.5
9,Jonathan Kuminga,16:43,.945,1.000,.000,.333,0.0,6.2,3.2,15.3,5.9,0.0,0.0,16.8,188,102,18.5
10,Trayce Jackson-Davis,Did Not Play,,,,,,,,,,,,,,,
11,Cory Joseph,Did Not Play,,,,,,,,,,,,,,,
12,Gary Payton II,Did Not Play,,,,,,,,,,,,,,,
