,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Stephen Curry,34:28,8,18,.444,5,13,.385,10,11,.909,0,5,5,1,0,0,4,2,31,18.6,+4
1,Draymond Green,30:34,3,7,.429,0,2,.000,4,4,1.000,6,4,10,9,0,2,4,3,10,14.2,-1
2,Andrew Wiggins,27:24,3,12,.250,0,1,.000,3,3,1.000,1,2,3,1,0,0,1,1,9,2.4,+6
3,Klay Thompson,27:03,3,13,.231,1,8,.125,4,4,1.000,0,5,5,1,0,0,0,0,11,5.3,-6
4,Kevon Looney,16:01,2,6,.333,0,0,,2,2,1.000,2,6,8,0,1,0,0,2,6,6.0,-7
5,Moses Moody,26:11,5,10,.500,1,4,.250,1,1,1.000,2,2,4,0,1,1,1,2,12,8.9,+3
6,Brandin Podziemski,21:12,1,3,.333,1,1,1.000,0,2,.000,1,4,5,1,0,0,1,2,3,1.3,+5
7,Chris Paul,20:29,1,4,.250,0,2,.000,0,0,,1,2,3,6,0,0,2,2,2,2.3,-4
8,Dario Šarić,19:51,4,7,.571,2,3,.667,3,4,.750,2,4,6,0,0,0,4,3,13,6.7,+7
9,Jonathan Kuminga,16:43,6,6,1.000,0,0,,1,2,.500,0,1,1,1,2,0,0,2,13,13.0,+13
10,Trayce Jackson-Davis,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Cory Joseph,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Gary Payton II,Did Not Play,,,,,,,,,,,,,,,,,,,,
