,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Eric Gordon,38:01,7,13,.538,3,7,.429,2,2,1.000,0,0,0,3,2,1,4,3,19,12.3,-2
1,Devin Booker,37:32,10,14,.714,2,2,1.000,6,9,.667,0,7,7,7,1,0,3,4,28,24.4,-6
2,Jusuf Nurkić,29:47,6,13,.462,2,4,.500,1,4,.250,1,8,9,3,1,0,0,3,15,12.1,+2
3,Josh Okogie,28:40,0,5,.000,0,3,.000,0,0,,2,0,2,3,2,2,1,3,0,1.2,+3
4,Keita Bates-Diop,17:11,2,6,.333,1,3,.333,0,2,.000,1,3,4,2,0,0,0,0,5,3.8,-8
5,Yuta Watanabe,23:50,3,8,.375,3,8,.375,0,0,,0,2,2,1,0,0,0,0,9,5.9,-13
6,Chimezie Metu,23:14,4,9,.444,0,4,.000,2,2,1.000,0,4,4,1,2,2,0,1,10,10.2,-1
7,Jordan Goodwin,19:35,3,6,.500,0,1,.000,2,2,1.000,2,3,5,6,0,0,2,2,8,8.7,-12
8,Drew Eubanks,16:23,4,8,.500,0,0,,0,0,,2,4,6,0,0,0,1,3,8,4.4,-10
9,Nassir Little,3:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
10,Saben Lee,0:55,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,3.7,+4
11,Bol Bol,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
