,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Jalen Brunson,39:00,.442,.316,.316,.842,4.7,13.1,8.7,29.3,2.4,0.0,10.3,30.8,101,116,-1.9
1,Julius Randle,39:00,.670,.652,.261,.087,7.1,23.6,14.9,31.1,1.2,2.2,7.7,27.4,135,113,12.1
2,Donte DiVincenzo,26:58,.653,.615,.692,.538,10.3,15.1,12.6,5.9,7.0,0.0,0.0,24.7,144,105,16.8
3,RJ Barrett,24:18,.253,.188,.438,.250,3.8,21.0,12.0,11.3,0.0,0.0,0.0,30.2,69,118,-15.4
4,Jericho Sims,17:59,1.000,1.000,.000,.000,5.1,5.7,5.4,0.0,0.0,4.8,33.3,6.9,125,122,-4.2
5,Isaiah Hartenstein,29:27,.788,.750,.000,.250,9.4,10.4,9.9,0.0,0.0,5.8,0.0,6.2,174,120,-2.5
6,Josh Hart,28:54,.000,.000,.800,.000,0.0,7.1,3.4,8.1,1.6,0.0,0.0,7.2,26,120,-11.1
7,Immanuel Quickley,18:26,.938,.938,.500,.000,5.0,5.5,5.3,10.3,5.2,0.0,11.1,20.2,157,113,17.9
8,Quentin Grimes,15:55,.205,.250,.750,.500,0.0,12.8,6.1,7.9,0.0,0.0,17.0,15.3,44,122,-15.7
9,Ryan Arcidiacono,Did Not Play,,,,,,,,,,,,,,,
10,Evan Fournier,Did Not Play,,,,,,,,,,,,,,,
11,DaQuan Jeffries,Did Not Play,,,,,,,,,,,,,,,
12,Miles McBride,Did Not Play,,,,,,,,,,,,,,,
