,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,DeMar DeRozan,40:41,.610,.464,.214,.786,5.2,8.8,6.9,12.4,0.0,0.0,13.7,23.2,121,127,-5.3
1,Coby White,39:35,.553,.550,.550,.400,2.7,18.2,10.0,39.1,1.3,0.0,0.0,25.6,132,123,7.2
2,Nikola Vučević,35:59,.548,.524,.238,.095,5.9,33.3,18.8,29.5,2.8,0.0,0.0,26.2,129,116,8.1
3,Patrick Williams,31:58,.455,.444,.556,.222,6.7,0.0,3.5,11.1,3.1,6.5,0.0,13.3,117,117,-1.3
4,Alex Caruso,4:52,.750,.750,.750,.000,0.0,0.0,0.0,39.0,0.0,0.0,0.0,35.5,145,130,23.5
5,Ayo Dosunmu,35:19,.872,.958,.333,.333,6.0,20.4,12.8,21.6,1.4,0.0,0.0,16.8,175,121,11.0
6,Torrey Craig,23:14,.336,.286,.429,.143,4.6,10.3,7.3,0.0,2.1,0.0,0.0,13.8,83,122,-13.3
7,Jevon Carter,13:29,.000,.000,1.000,.000,0.0,0.0,0.0,7.9,3.7,0.0,33.3,9.6,22,120,-17.3
8,Andre Drummond,12:01,.717,.750,.000,.500,8.9,39.9,23.5,0.0,0.0,0.0,0.0,17.5,146,120,-3.6
9,Dalen Terry,2:52,,,,,0.0,41.9,19.7,0.0,0.0,0.0,100.0,15.1,0,119,-31.1
10,Julian Phillips,Did Not Play,,,,,,,,,,,,,,,
11,Terry Taylor,Did Not Play,,,,,,,,,,,,,,,
