,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Saddiq Bey,37:25,4,12,.333,2,8,.250,0,0,,3,7,10,4,0,0,1,3,10,8.0,+24
1,Trae Young,35:58,15,29,.517,7,15,.467,1,2,.500,1,4,5,11,1,0,8,2,38,25.1,+14
2,Clint Capela,34:42,9,12,.750,0,0,,0,0,,6,9,15,0,0,3,1,2,18,20.4,+20
3,Onyeka Okongwu,33:23,6,7,.857,1,2,.500,1,1,1.000,4,7,11,0,0,1,1,3,14,14.9,+14
4,Dejounte Murray,33:19,8,18,.444,1,6,.167,0,0,,1,6,7,9,1,0,1,3,17,15.2,+18
5,Bogdan Bogdanović,32:54,7,16,.438,3,7,.429,3,3,1.000,0,3,3,6,0,0,0,2,20,15.9,+21
6,Garrison Mathews,18:19,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,1,0,0,2,6,5.9,+1
7,Trent Forrest,10:48,0,4,.000,0,1,.000,0,0,,1,2,3,4,1,0,0,1,0,1.9,+2
8,Seth Lundy,1:04,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-3
9,Bruno Fernando,1:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
10,Patty Mills,1:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
11,Wesley Matthews,Did Not Play,,,,,,,,,,,,,,,,,,,,
