,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jayson Tatum,38:47,11,22,.500,2,9,.222,6,9,.667,0,6,6,4,0,0,2,3,30,19.2,+14
1,Derrick White,30:08,7,15,.467,3,7,.429,2,2,1.000,1,3,4,8,4,1,1,0,19,22.2,+13
2,Jaylen Brown,29:35,8,15,.533,0,5,.000,2,3,.667,0,3,3,4,0,1,2,0,18,12.7,+20
3,Jrue Holiday,28:12,2,7,.286,2,3,.667,0,0,,1,3,4,4,2,1,0,2,6,8.2,+12
4,Lamar Stevens,14:07,3,7,.429,1,3,.333,1,2,.500,1,2,3,0,2,1,1,2,8,6.1,-7
5,Sam Hauser,31:30,4,8,.500,3,6,.500,0,0,,2,5,7,4,4,0,1,1,11,15.3,+19
6,Payton Pritchard,28:17,7,10,.700,6,7,.857,1,2,.500,1,2,3,5,1,0,0,4,21,20.6,+8
7,Neemias Queta,18:18,2,3,.667,0,0,,0,0,,2,1,3,1,1,3,1,6,4,4.8,+13
8,Oshae Brissett,15:38,4,4,1.000,1,1,1.000,2,2,1.000,1,0,1,1,0,0,2,4,11,7.6,-3
9,Svi Mykhailiuk,5:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
10,Kristaps Porziņģis,Did Not Dress,,,,,,,,,,,,,,,,,,,,
