,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Caleb Martin,36:44,6,8,.750,0,0,,5,8,.625,2,2,4,2,2,0,2,4,17,14.4,+9
1,Jimmy Butler,34:58,9,18,.500,0,2,.000,10,11,.909,1,3,4,2,2,0,2,3,28,20.4,+12
2,Kyle Lowry,31:50,3,7,.429,1,3,.333,3,4,.750,0,3,3,7,0,1,0,2,10,11.6,+8
3,Duncan Robinson,23:53,3,9,.333,3,9,.333,0,0,,0,1,1,6,0,0,2,0,9,6.4,-15
4,Orlando Robinson,11:02,1,4,.250,0,2,.000,0,0,,1,1,2,1,0,0,0,2,2,0.5,-1
5,Jaime Jaquez Jr.,34:34,8,14,.571,1,3,.333,1,1,1.000,1,4,5,4,2,0,2,1,18,15.7,+8
6,Kevin Love,26:29,8,12,.667,6,10,.600,0,0,,1,6,7,1,1,0,1,2,22,19.2,+19
7,Josh Richardson,20:26,3,7,.429,2,5,.400,0,0,,1,1,2,2,0,0,1,1,8,5.3,-12
8,Haywood Highsmith,14:00,1,2,.500,0,1,.000,0,1,.000,1,0,1,1,0,0,0,2,2,1.2,-10
9,Thomas Bryant,6:03,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,0,2,2,1.5,-8
10,Jamal Cain,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Nikola Jović,Did Not Play,,,,,,,,,,,,,,,,,,,,
