,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Tyus Jones,38:31,.733,.733,.400,.000,0.0,10.6,5.1,49.3,7.3,2.1,6.3,17.5,151,98,19.5
1,Daniel Gafford,35:06,.808,.769,.000,.538,18.8,29.1,23.7,16.2,0.0,4.6,5.9,20.5,166,106,11.7
2,Kyle Kuzma,34:23,.372,.386,.591,.091,2.7,17.8,10.0,9.6,0.0,4.7,8.0,30.5,74,109,-9.1
3,Jordan Poole,31:53,.391,.353,.529,.118,0.0,12.8,6.1,19.1,1.5,0.0,18.3,28.9,73,110,-11.2
4,Deni Avdija,31:33,.451,.333,.167,.667,0.0,19.4,9.3,8.5,0.0,0.0,20.5,13.0,82,111,-10.9
5,Corey Kispert,25:14,.333,.333,.778,.000,0.0,0.0,0.0,5.4,0.0,3.2,0.0,15.0,75,116,-8.8
6,Bilal Coulibaly,20:01,.429,.429,.857,.000,0.0,5.1,2.4,7.0,0.0,0.0,0.0,14.8,93,116,-7.2
7,Danilo Gallinari,12:17,.904,.750,1.000,1.500,0.0,8.3,4.0,0.0,3.8,0.0,0.0,11.4,187,107,7.5
8,Mike Muscala,10:22,.410,.250,.500,.500,18.2,19.7,18.9,0.0,0.0,0.0,0.0,19.9,109,111,-7.4
9,Anthony Gill,0:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-8.6
10,Eugene Omoruyi,0:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-9.4
11,Jules Bernard,Did Not Play,,,,,,,,,,,,,,,
12,Jared Butler,Did Not Play,,,,,,,,,,,,,,,
