,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Coby White,39:59,9,17,.529,2,6,.333,4,4,1.000,1,7,8,9,0,1,2,0,24,23.5,0
1,DeMar DeRozan,36:50,5,15,.333,0,0,,5,6,.833,0,4,4,5,4,1,2,1,15,13.1,-5
2,Patrick Williams,36:35,5,13,.385,3,4,.750,0,0,,0,6,6,0,0,1,0,1,13,8.0,-2
3,Nikola Vučević,33:34,10,18,.556,3,7,.429,0,0,,3,5,8,4,0,2,2,4,23,18.6,-4
4,Ayo Dosunmu,19:22,1,3,.333,0,1,.000,2,2,1.000,3,1,4,1,1,1,2,1,4,4.7,-23
5,Alex Caruso,30:31,5,8,.625,0,3,.000,0,1,.000,0,4,4,4,1,2,2,5,10,8.4,+18
6,Jevon Carter,18:17,4,11,.364,4,8,.500,0,0,,0,0,0,0,0,0,0,1,12,5.5,+18
7,Andre Drummond,14:24,2,3,.667,0,0,,1,2,.500,3,5,8,0,1,1,0,0,5,8.6,+8
8,Dalen Terry,10:28,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,0,2,2,2.9,+10
9,Torrey Craig,Did Not Dress,,,,,,,,,,,,,,,,,,,,
10,Julian Phillips,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Terry Taylor,Did Not Play,,,,,,,,,,,,,,,,,,,,
