,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Saddiq Bey,42:13,8,15,.533,2,7,.286,3,5,.600,2,2,4,1,2,0,1,1,21,16.2,+9
1,Trae Young,37:57,8,17,.471,4,11,.364,11,12,.917,0,4,4,15,0,0,5,3,31,27.4,+16
2,Dejounte Murray,32:57,8,13,.615,3,5,.600,1,2,.500,0,3,3,3,1,1,1,2,20,16.6,+2
3,De'Andre Hunter,29:03,7,15,.467,5,6,.833,0,0,,1,5,6,2,1,2,4,5,19,11.3,+9
4,Clint Capela,27:48,7,11,.636,0,0,,3,3,1.000,7,8,15,2,1,3,1,3,17,21.7,+10
5,Onyeka Okongwu,23:12,5,6,.833,0,0,,4,4,1.000,0,2,2,1,0,1,2,2,14,11.0,0
6,Garrison Mathews,22:37,2,5,.400,2,5,.400,0,1,.000,1,2,3,0,0,2,2,5,6,1.6,-8
7,Wesley Matthews,15:24,1,2,.500,0,1,.000,0,0,,0,2,2,1,1,1,1,1,2,2.6,-9
8,Seth Lundy,8:49,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.2,+1
9,Bogdan Bogdanović,Did Not Dress,,,,,,,,,,,,,,,,,,,,
10,Bruno Fernando,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Trent Forrest,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Patty Mills,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Miles Norris,Did Not Play,,,,,,,,,,,,,,,,,,,,
