,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Damian Lillard,34:50,.826,.795,.545,.227,0.0,9.4,4.2,17.9,3.8,0.0,4.0,29.0,154,108,17.1
1,Giannis Antetokounmpo,33:36,.376,.333,.167,.500,5.2,39.0,20.2,51.6,2.6,2.2,17.0,21.0,109,104,5.9
2,Brook Lopez,31:47,.470,.429,.357,.143,13.7,0.0,7.6,3.7,0.0,13.7,0.0,18.7,117,106,-4.1
3,Khris Middleton,28:22,.567,.567,.400,.000,0.0,11.5,5.1,17.7,1.6,0.0,6.3,22.6,111,113,-3.0
4,Malik Beasley,27:30,.500,.500,.714,.000,3.2,11.9,7.1,7.8,1.6,0.0,0.0,10.2,118,113,-5.6
5,Bobby Portis,26:19,.719,.719,.375,.000,3.3,37.3,18.4,11.5,3.3,0.0,0.0,24.3,141,105,8.7
6,Pat Connaughton,18:13,.188,.188,.750,.000,0.0,18.0,8.0,11.1,2.4,0.0,0.0,17.6,56,110,-15.0
7,Andre Jackson Jr.,14:49,.717,.750,.750,.500,11.8,7.4,9.8,14.9,3.0,0.0,17.0,15.9,134,110,2.6
8,Cameron Payne,12:31,.478,.333,.333,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,102,118,-14.1
9,MarJon Beauchamp,6:19,,,,,0.0,17.3,7.7,0.0,0.0,0.0,,0.0,0,115,-10.0
10,A.J. Green,2:09,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0,118,-29.1
11,Robin Lopez,2:09,1.500,1.500,1.000,.000,0.0,50.7,22.6,0.0,0.0,0.0,0.0,18.6,300,110,35.4
12,Thanasis Antetokounmpo,1:26,,,,,0.0,0.0,0.0,67.0,0.0,0.0,,0.0,236,118,11.8
