,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Trae Young,36:28,.712,.694,.444,.389,0.0,13.2,6.5,54.5,1.4,0.0,15.9,29.4,140,132,7.8
1,Dejounte Murray,35:18,.610,.567,.533,.333,6.6,3.4,5.0,18.1,0.0,2.5,14.9,24.5,121,135,-2.1
2,Saddiq Bey,31:38,.393,.364,.545,.091,14.8,19.0,16.9,0.0,0.0,0.0,8.0,16.8,100,134,-10.7
3,De'Andre Hunter,28:16,.550,.550,.400,.000,0.0,4.2,2.1,13.2,0.0,0.0,0.0,15.1,128,137,-4.9
4,Clint Capela,21:18,.826,.667,.000,1.167,27.5,22.5,25.0,11.9,4.6,4.1,0.0,18.2,193,118,13.7
5,Onyeka Okongwu,32:41,.745,.727,.091,.364,3.6,36.7,19.9,8.3,0.0,0.0,0.0,16.7,160,130,3.3
6,Bogdan Bogdanović,29:36,.739,.714,.571,.143,0.0,16.2,8.0,23.8,1.7,2.9,0.0,21.5,161,128,10.7
7,Garrison Mathews,16:47,.750,.750,1.000,.000,0.0,7.1,3.5,0.0,0.0,0.0,20.0,12.7,107,136,-5.6
8,Wesley Matthews,7:58,.174,.000,.500,1.000,0.0,30.1,14.9,0.0,0.0,0.0,0.0,15.4,43,131,-20.3
9,Bruno Fernando,Did Not Play,,,,,,,,,,,,,,,
10,Trent Forrest,Did Not Play,,,,,,,,,,,,,,,
11,Patty Mills,Did Not Play,,,,,,,,,,,,,,,
