,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Max Strus,33:20,4,16,.250,2,12,.167,3,5,.600,0,3,3,5,0,0,3,2,13,3.2,-15
1,Isaac Okoro,32:11,7,10,.700,2,5,.400,0,1,.000,1,2,3,4,1,0,0,2,16,15.7,-19
2,Craig Porter Jr.,29:04,3,9,.333,1,1,1.000,0,0,,0,3,3,11,1,0,2,1,7,9.1,+3
3,Jarrett Allen,26:55,7,8,.875,0,0,,0,0,,1,6,7,3,1,0,1,0,14,15.8,-6
4,Dean Wade,26:15,7,11,.636,6,8,.750,0,0,,0,9,9,0,0,2,0,3,20,18.0,-4
5,Caris LeVert,22:37,3,9,.333,1,4,.250,2,2,1.000,0,0,0,4,1,0,1,1,9,6.3,-24
6,Tristan Thompson,20:51,3,5,.600,0,0,,0,0,,4,3,7,3,0,0,0,2,6,8.7,-13
7,Georges Niang,19:08,4,8,.500,3,7,.429,0,0,,0,2,2,1,0,1,3,1,11,5.6,-13
8,Sam Merrill,12:27,0,4,.000,0,3,.000,0,0,,0,0,0,1,0,0,1,0,0,-3.1,+1
9,Emoni Bates,8:52,1,5,.200,1,3,.333,0,0,,0,0,0,1,0,0,0,1,3,0.2,-9
10,Isaiah Mobley,4:10,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,3.4,+2
11,Damian Jones,4:10,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+2
