,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tim Hardaway Jr.,25:51,6,20,.300,2,8,.250,2,2,1.000,1,2,3,1,0,0,1,0,16,5.4,-27
1,Grant Williams,25:43,0,5,.000,0,3,.000,0,0,,0,4,4,2,2,1,0,2,0,1.0,-28
2,Jaden Hardy,24:18,3,17,.176,2,12,.167,0,0,,0,2,2,4,0,0,0,5,8,-1.3,-33
3,Derrick Jones Jr.,22:24,1,4,.250,0,1,.000,1,2,.500,2,2,4,1,0,0,1,3,3,0.7,-21
4,Markieff Morris,11:33,1,4,.250,1,4,.250,1,2,.500,0,2,2,0,0,0,0,0,4,1.8,-13
5,Olivier-Maxence Prosper,29:48,6,13,.462,1,4,.250,7,9,.778,5,1,6,2,1,0,3,2,20,14.9,-5
6,A.J. Lawson,23:20,3,4,.750,0,1,.000,2,2,1.000,0,2,2,1,4,0,3,0,8,8.7,+2
7,Richaun Holmes,22:21,7,12,.583,0,0,,2,3,.667,5,3,8,1,1,0,1,2,16,14.3,+10
8,Seth Curry,17:38,0,7,.000,0,2,.000,0,0,,0,2,2,0,2,0,2,1,0,-4.7,-23
9,Dexter Dennis,17:13,8,11,.727,1,3,.333,1,2,.500,0,5,5,4,0,0,0,0,18,17.4,+10
10,Greg Brown III,12:08,0,3,.000,0,1,.000,3,4,.750,1,4,5,2,0,0,0,1,3,3.4,-1
11,Dwight Powell,7:43,0,1,.000,0,1,.000,0,0,,0,4,4,0,0,0,0,1,0,0.1,-1
