,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Alperen Sengun,38:25,11,21,.524,1,1,1.000,14,17,.824,4,7,11,6,1,1,2,4,37,32.7,-2
1,Jabari Smith Jr.,37:16,10,14,.714,4,5,.800,2,3,.667,4,7,11,2,1,1,1,3,26,25.6,+1
2,Fred VanVleet,35:45,3,11,.273,2,7,.286,2,3,.667,0,0,0,3,1,0,1,1,10,4.8,+1
3,Dillon Brooks,27:44,2,7,.286,1,4,.250,0,0,,0,5,5,5,1,0,1,3,5,4.7,+6
4,Jalen Green,22:29,2,8,.250,0,4,.000,5,6,.833,0,4,4,2,1,0,5,1,9,2.0,-2
5,Jeff Green,21:26,1,3,.333,0,1,.000,0,0,,1,2,3,2,0,0,0,1,2,2.6,+6
6,Tari Eason,20:25,4,11,.364,0,2,.000,0,0,,2,2,4,0,2,0,0,5,8,3.9,-6
7,Aaron Holiday,15:17,1,2,.500,1,2,.500,2,2,1.000,0,1,1,1,1,0,1,0,5,5.0,+2
8,Jae'Sean Tate,10:44,1,4,.250,0,2,.000,0,0,,2,3,5,0,0,0,0,2,2,1.1,+1
9,Amen Thompson,10:29,0,1,.000,0,1,.000,2,4,.500,0,0,0,0,1,0,0,0,2,1.5,+3
10,Nate Hinton,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jock Landale,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Boban Marjanović,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Jermaine Samuels,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Cam Whitmore,Did Not Play,,,,,,,,,,,,,,,,,,,,
