,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Desmond Bane,36:20,13,25,.520,5,14,.357,6,6,1.000,0,6,6,6,1,1,2,0,37,30.4,-5
1,Ja Morant,36:07,14,25,.560,1,3,.333,1,1,1.000,0,6,6,11,1,1,3,1,30,25.9,+2
2,Vince Williams Jr.,35:07,2,6,.333,1,5,.200,0,0,,2,9,11,1,2,0,1,4,5,5.8,+13
3,Bismack Biyombo,29:04,3,6,.500,0,0,,2,6,.333,7,4,11,3,1,0,1,2,8,10.8,+4
4,Jaren Jackson Jr.,23:52,8,10,.800,1,2,.500,3,4,.750,2,0,2,0,0,0,2,5,20,13.2,0
5,Santi Aldama,27:06,2,7,.286,1,4,.250,1,2,.500,0,4,4,3,0,1,1,0,6,4.5,+3
6,Ziaire Williams,23:28,3,8,.375,1,3,.333,1,3,.333,1,2,3,3,0,0,1,3,8,4.0,+6
7,Xavier Tillman Sr.,15:37,3,7,.429,0,0,,0,0,,2,1,3,0,1,2,0,0,6,6.4,+4
8,John Konchar,13:19,2,3,.667,1,2,.500,0,0,,1,4,5,2,0,2,0,1,5,8.0,+3
9,Jacob Gilyard,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,GG Jackson II,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jake LaRavia,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,David Roddy,Did Not Play,,,,,,,,,,,,,,,,,,,,
