,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Scottie Barnes,37:51,12,23,.522,4,8,.500,4,4,1.000,3,11,14,7,0,1,4,4,32,26.1,-6
1,Pascal Siakam,35:59,7,20,.350,0,2,.000,5,6,.833,3,6,9,6,1,0,1,4,19,13.9,0
2,OG Anunoby,35:51,8,13,.615,2,3,.667,1,1,1.000,1,1,2,4,2,0,0,1,19,18.5,-4
3,Dennis Schröder,33:02,4,9,.444,1,3,.333,2,3,.667,1,2,3,7,3,0,4,2,11,10.3,-1
4,Jakob Poeltl,20:54,1,4,.250,0,0,,0,0,,2,2,4,3,0,2,0,2,2,4.3,+3
5,Gary Trent Jr.,27:42,6,12,.500,4,9,.444,0,0,,0,0,0,0,0,0,2,0,16,8.0,-10
6,Precious Achiuwa,21:21,3,7,.429,0,3,.000,2,2,1.000,1,1,2,1,0,2,0,1,8,7.0,-3
7,Malachi Flynn,14:02,1,3,.333,1,3,.333,0,0,,0,2,2,6,0,0,0,1,3,5.7,-3
8,Chris Boucher,13:18,3,3,1.000,1,1,1.000,2,3,.667,1,2,3,1,1,0,0,2,9,9.9,-11
9,Gradey Dick,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Jalen McDaniels,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jontay Porter,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Otto Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Garrett Temple,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Thaddeus Young,Did Not Play,,,,,,,,,,,,,,,,,,,,
