,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Nikola Jokić,29:58,11,11,1.000,1,1,1.000,3,3,1.000,0,14,14,10,0,2,3,1,26,31.9,+25
1,Jamal Murray,25:40,9,12,.750,4,6,.667,1,1,1.000,2,1,3,9,2,0,1,0,23,27.2,+19
2,Kentavious Caldwell-Pope,25:12,5,10,.500,2,5,.400,0,0,,2,0,2,3,0,1,0,2,12,10.4,+27
3,Peyton Watson,23:00,6,14,.429,4,10,.400,4,4,1.000,0,5,5,2,0,0,0,1,20,15.1,+28
4,Michael Porter Jr.,22:46,3,6,.500,2,3,.667,0,0,,0,4,4,0,0,1,2,3,8,3.7,+28
5,Julian Strawther,24:41,5,13,.385,2,8,.250,0,0,,0,3,3,2,0,1,1,4,12,5.3,+6
6,Christian Braun,23:21,4,8,.500,1,2,.500,2,4,.500,0,3,3,4,1,0,0,0,11,10.9,+13
7,Justin Holiday,17:59,3,5,.600,2,3,.667,0,0,,0,2,2,1,2,0,0,2,8,8.2,+1
8,Reggie Jackson,16:49,3,7,.429,1,1,1.000,2,2,1.000,1,1,2,7,1,0,3,1,9,8.8,+15
9,DeAndre Jordan,12:31,2,3,.667,0,0,,0,0,,5,4,9,2,0,2,0,3,4,9.0,+9
10,Braxton Key,7:01,1,2,.500,0,0,,0,0,,1,1,2,1,0,0,0,0,2,2.7,+8
11,Zeke Nnaji,5:31,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,1,2,4,2.2,+3
12,Jalen Pickett,5:31,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,3.7,+3
